stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction
008694,Köztelek utca,47.486933,19.067178,,,,2,106
008697,Újpest-Központ M,47.561038,19.090245,008697,,CS008697,1,
008702,Ferencvárosi rendelőintézet,47.477155,19.075785,,,,2,107
008706,Bekecs utca (Árpádföld H),47.533790,19.207682,,,,2,121
008707,Szabadságtelep H,47.535442,19.204327,,,,2,109
008708,Vízművek lakótelep,47.597822,19.091606,,,,2,34
008709,"Csömör, Hunyadi János utca",47.544388,19.218561,,,,2,49
008714,"Csömör, Hunyadi János utca",47.544413,19.218340,,,,2,-124
008715,"Csömör, Petőfi Sándor utca",47.546333,19.224134,,,,2,28
008725,Puskás Ferenc Stadion M,47.499900,19.104879,,,,2,
008731,Budagyöngye,47.516074,18.998922,,,,2,
008736,Dániel út,47.512863,18.994978,,,,2,
008737,Dániel út,47.512881,18.994739,,,,2,117
008740,Újbuda-központ M,47.474683,19.046385,,,,1,-165
008750,Batthyány tér M+H,47.505696,19.039323,,,,1,175
008754,Pestszentimre vasútállomás (Dózsa Gy.u.),47.403586,19.185688,,,,2,49
008772,Pestszentlőrinc vasútállomás,47.454646,19.181749,,,,2,
008775,Ilonatelep H,47.525831,19.228646,,,,2,46
008782,Blaha Lujza tér M,47.496844,19.069066,,,,1,
008785,Puskás Ferenc Stadion M,47.499936,19.105237,,,,2,
008788,Kőérberek,47.445299,18.999585,,,,2,-63
008789,Kőérberek,47.445218,19.000036,,,,2,89
008792,Normafa,47.502258,18.965793,,,,2,-159
008793,Regényes utca,47.429436,19.020658,,,,2,180
008801,Savoya Park,47.436482,19.040103,,,,1,
008802,Savoya Park,47.435847,19.042385,,,,1,
008832,Szakorvosi rendelőintézet,47.443871,19.181125,,,,2,29
008841,Íves út,47.592824,19.107979,,,,1,60
008842,Íves út,47.592582,19.106650,,,,1,-119
008844,Egressy út / Vezér utca,47.519260,19.126312,,,,1,-142
008846,Méhecske utca,47.448032,18.947797,,,,2,180
008847,Méhecske utca,47.447979,18.947970,,,,2,-4
008850,Mikszáth Kálmán utca,47.451162,19.176781,,,,2,-55
008863,Gőzmozdony utca,47.470054,19.157193,,,,2,-144
008864,Savoya Park,47.435991,19.041549,,,,1,
008878,Őszibarack utca,47.415901,19.012068,,,,2,-115
008879,Aradi utca,47.419168,19.007053,,,,2,-37
008893,Csepeli átjáró,47.436339,19.092257,,,,2,-98
008894,Vízisport utca,47.433997,19.091263,,,,2,144
008895,Teremszeg utca,47.432951,19.092221,,,,2,163
008896,Pesterzsébet vasútállomás,47.433417,19.096414,,,,2,81
008898,Szakorvosi rendelő,47.440886,19.101780,,,,2,-39
008900,Árpád híd M,47.531904,19.066158,,,,1,-160
008903,Szentmihályi út,47.541396,19.151947,,,,2,64
008904,Kétújfalu utca,47.419522,19.209134,,,,2,28
008910,"Káposztásmegyer, Mogyoródi-patak",47.598321,19.121429,,,,2,95
008911,Homoktövis iskola,47.597226,19.117132,,,,1,38
008912,Hidegkuti Nándor Stadion,47.490246,19.110044,,,,2,80
008915,Jászberényi út / Maglódi út,47.490399,19.148450,,,,2,
008916,Kőbányai garázs,47.490648,19.114424,,,,2,-99
008917,Kőbányai garázs,47.490684,19.113853,,,,2,89
008918,"Budatétény, benzinkút",47.430123,19.003651,,,,2,-156
008919,Pongrátz Gergely tér,47.509771,19.128546,,,,1,-46
008921,Dél-pesti autóbuszgarázs,47.426613,19.161081,,,,2,
008922,Gyula vezér út,47.409254,19.003430,,,,2,-133
008923,Kabai utca,47.495749,19.160431,,,,2,-47
008924,Kabai utca,47.495605,19.160418,,,,2,135
008939,Békásmegyer H,47.598408,19.054259,,,,2,120
008940,Békásmegyer H,47.598633,19.054086,,,,2,
008941,Váci út,47.561245,19.079377,,,,2,-79
008942,Örs vezér tere M+H (Kerepesi út),47.503216,19.137557,,,,1,86
008943,"Budatétény, benzinkút",47.431086,19.004419,,,,2,20
008944,Újpest-Városkapu M (Váci út),47.556577,19.076558,,,,2,
008945,Újpest-Városkapu M (Váci út),47.558110,19.076876,,,,1,-164
008946,Szénás utca,47.527548,19.181565,,,,1,53
008947,Szlovák út,47.530956,19.189157,,,,1,55
008948,Kucorgó tér,47.469328,19.295153,,,,2,170
008949,Pestszentimre vasútáll. (Nagykőrösi út),47.403423,19.186602,,,,2,136
008950,Pestszentimre vasútáll. (Nagykőrösi út),47.404315,19.185664,,,,2,-39
008951,Béke tér,47.430019,19.215675,,,,2,-64
008952,Terv utca,47.408012,19.001509,,,,2,-132
008953,Csillag utca,47.409214,19.119000,,,,2,173
008954,Csillag utca,47.409565,19.119053,,,,2,-7
008955,Gombosszeg köz,47.413020,19.118396,,,,2,-171
008956,Gombosszeg köz,47.412723,19.118475,,,,2,0
008957,Előd utca,47.418651,19.117329,,,,2,141
008958,Alsó határút,47.416313,19.116399,,,,2,24
008959,Templom utca 6.,47.408876,19.113620,,,,2,167
008960,Gyáli-patak,47.394698,19.116570,,,,2,-150
008961,"Soroksár, Hősök tere H",47.399339,19.116483,,,,2,75
008962,Szent István utca H,47.392297,19.115202,,,,2,31
008963,Grassalkovich út,47.390505,19.118896,,,,2,153
008964,Tartsay utca,47.421343,19.127194,,,,2,48
008965,Szent László utca,47.421272,19.126902,,,,2,-132
008966,Szentlőrinci úti lakótelep,47.417227,19.131105,,,,1,-35
008967,Szentlőrinci úti lakótelep,47.416957,19.131198,,,,1,140
008971,Gyula vezér út,47.409902,19.004383,,,,2,34
009000,Kistarcsa H,47.545503,19.259839,,,,2,43
009001,Kistarcsa H,47.545584,19.259693,,,,2,-127
009002,Kerepes H,47.552441,19.270507,,,,2,49
009003,Kerepes H,47.551324,19.268897,,,,2,-131
009004,Szilasligeti elágazás,47.560201,19.283112,,,,2,43
009005,"Kerepes, Szabadság útja",47.560786,19.282783,,,,2,135
009006,Szilasligeti elágazás,47.560766,19.283700,,,,2,-135
009007,"Szilasliget, Posta",47.569550,19.272176,,,,2,39
009008,"Szilasliget, Posta",47.569882,19.272430,,,,2,-121
009009,"Szilasliget, Wesselényi utca",47.573117,19.269227,,,,2,-44
009010,"Szilasliget, Wesselényi utca",47.572955,19.269240,,,,2,137
009011,"Szilasliget, Szondi utca",47.575273,19.266059,,,,2,-45
009012,"Szilasliget, Szondi utca",47.575382,19.265687,,,,2,135
009013,"Szilasliget, Kemping",47.578226,19.261133,,,,2,103
009014,EGIS-telep (Szentjakab H),47.592911,19.284773,,,,2,-61
009015,EGIS-telep (Szentjakab H),47.592495,19.285583,,,,2,119
009016,"Gödöllő, Szökőkút",47.599126,19.346731,,,,2,130
009017,"Gödöllő, Szabadság tér H",47.599243,19.346771,,,,2,-42
009018,"Gödöllő, Szabadság tér H",47.598050,19.349038,,,,2,40
009019,"Gödöllő, Palotakert H",47.598734,19.355678,,,,2,115
009020,"Gödöllő, Palotakert H",47.598679,19.356116,,,,2,-40
009021,Gödöllő H,47.592368,19.358154,,,,2,
009022,Mogyoród H,47.595494,19.271446,,,,2,-67
009025,Zichy Jenő utca,47.505192,19.057853,,,,1,-41
009026,Zichy Jenő utca,47.505246,19.057588,,,,1,133
009031,"Margit híd, budai hídfő H",47.514834,19.035830,,,,2,-159
009039,Csanády utca (Lehel tér M),47.515850,19.058891,,,,1,111
009041,Haller utca / Soroksári út,47.475024,19.069894,,,,2,-26
009042,Haller utca / Soroksári út,47.474755,19.070159,,,,1,146
009047,Homoktövis utca,47.594692,19.113273,,,,1,14
009065,"Solymár, Szarvas",47.596321,18.973591,,,,2,-89
009066,"Solymár, Szarvas",47.596178,18.974455,,,,2,82
009067,"Solymár, Auchan áruház",47.597798,18.963376,,,,2,
009072,AsiaCenter,47.548412,19.146959,,,,1,-46
009085,Budaörs vasútállomás,47.448190,18.964863,009085,,CS009589,2,-90
009094,Petőfi Sándor utca,47.402451,18.937042,,,,1,-43
009095,Pacsirta utca,47.404562,18.933977,,,,1,-43
009096,Pacsirta utca,47.404616,18.933765,,,,2,134
009097,Nóra utca,47.407239,18.930884,,,,2,-22
009098,Nóra utca,47.407275,18.930738,,,,2,158
009099,Katinka utca,47.410428,18.926876,,,,2,-42
009100,Katinka utca,47.410123,18.927181,,,,2,128
009101,Tátika utca,47.412860,18.930262,,,,2,27
009102,Tátika utca,47.412824,18.929984,,,,2,-106
009103,Valéria utca,47.414113,18.932830,,,,2,-18
009104,Valéria utca,47.414086,18.932618,,,,2,-123
009105,"Diósd, Búzavirág utca",47.416567,18.934213,,,,2,
009119,Szentendre H,47.659618,19.074522,,,,1,
009125,Pomáz H,47.642729,19.032125,,,,2,127
009137,Újmajori utca,47.471715,19.220093,,,,2,-154
009138,Csillagmotor köz,47.471018,19.221893,,,,2,-59
009139,Dedics Ferenc utca,47.469113,19.226092,,,,2,124
009140,Ősrepülő utca,47.469552,19.227168,,,,2,-149
009145,Haller utca / Mester utca,47.475966,19.077802,,,,2,-29
009146,Vágóhíd utca,47.473628,19.079643,,,,1,-32
009147,Vörösmarty utca,47.419900,19.120300,,,,2,50
009148,Szusza Ferenc Stadion,47.575797,19.083759,,,,2,38
009153,Óbudai rendelőintézet,47.545394,19.033784,,,,1,
009154,Atlétikai stadion,47.572575,19.114429,,,,2,18
009155,Atlétikai stadion,47.572180,19.114150,,,,2,-165
009160,Keleti pályaudvar M,47.499449,19.083401,,,,1,
009161,Keleti pályaudvar M,47.499431,19.084012,,,,1,53
009162,Keleti pályaudvar M,47.499926,19.083216,,,,1,
009163,Keleti pályaudvar M,47.499926,19.083587,,,,1,-92
009166,Magdolna utca,47.492810,19.087539,,,,2,
009170,"Pomáz, Dózsa György utca",47.645570,19.027226,,,,1,-24
009171,"Pomáz, Dózsa György utca",47.645554,19.027001,,,,1,156
009174,Széll Kálmán tér M,47.507655,19.024868,,,,1,-88
009176,Kossuth Lajos tér M,47.505930,19.048509,009176,,CS009176,1,-100
009178,Bajza utca,47.514897,19.068025,,,,2,
009179,"Petőfi híd, budai hídfő",47.476780,19.058883,,,,1,-121
009192,Kacsóh Pongrác utca,47.396486,19.208733,,,,2,172
009193,Kacsóh Pongrác utca,47.396873,19.208748,,,,2,-21
